"Page: 121  March 12, 2015"
""
"L.216 Other Loans and Advances"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"All sectors; other loans and advances; liability","    1762.8","    1767.7","    1819.8","    1935.1","    2072.0","    1896.8","    1935.1","    1953.9","    1994.7","    2020.2","    2072.0","    1",
"Government-sponsored enterprises; FHLB, Farm Credit System, and Sallie Mae loans; asset","     551.3","     487.0","     505.7","     587.5","     668.1","     547.3","     587.5","     576.9","     628.0","     639.1","     668.1","   23",
"Households and nonprofit organizations; Sallie Mae loans; liability","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","   24",
"Corporate farm business; Farm Credit System loans; liability","       6.8","       5.9","       6.6","       6.8","       8.0","       6.1","       6.8","       8.3","       7.7","       7.6","       8.0","   25",
"Nonfinancial noncorporate business; Farm Credit System loans; liability","      80.5","      77.8","      85.4","      88.2","      89.3","      83.5","      88.2","      90.0","      89.7","      91.7","      89.3","   26",
"U.S.-chartered depository institutions; FHLB advances and Sallie Mae loans; liability","     392.8","     332.3","     336.9","     406.2","     465.1","     377.3","     406.2","     389.8","     437.3","     439.9","     465.1","   27",
"Credit unions; FHLB advances; liability","      26.1","      24.2","      25.1","      27.0","      35.0","      26.6","      27.0","      27.4","      30.0","      33.1","      35.0","   28",
"Life insurance companies, general accounts; FHLB advances; liability","      45.1","      46.8","      51.6","      59.4","      70.6","      53.8","      59.4","      61.3","      63.3","      66.8","      70.6","   29",
"Issuers of asset-backed securities; securitized nonfinancial business loans; asset","       4.0","       0.1","       1.8","       1.9","       0.0","       3.9","       1.9","       1.8","       1.2","       0.0","       0.0","   30",
"Issuers of asset-backed securities; securitized nonfinancial business loans; asset","       4.0","       0.1","       1.8","       1.9","       0.0","       3.9","       1.9","       1.8","       1.2","       0.0","       0.0","   31",
"Finance companies; nonfinancial business loans; asset","     372.7","     375.8","     387.0","     401.3","     411.9","     396.9","     401.3","     398.0","     401.4","     401.7","     411.9","   32",
"Nonfinancial corporate business; finance companies loans; liability","     335.5","     338.2","     348.3","     361.2","     370.7","     357.2","     361.2","     358.2","     361.2","     361.5","     370.7","   33",
"Nonfinancial noncorporate business; finance companies loans; liability","      37.3","      37.6","      38.7","      40.1","      41.2","      39.7","      40.1","      39.8","      40.1","      40.2","      41.2","   34",
"Nonfinancial corporate business; syndicated loans; liability","     350.2","     375.1","     361.6","     405.4","     431.5","     387.1","     405.4","     428.0","     416.1","     429.7","     431.5","   35",
"Households and nonprofit organizations; syndicated loans to nonfinancial corporate business; asset","      26.2","      23.4","      20.9","      25.9","      22.6","      24.5","      25.9","      26.6","      22.2","      23.0","      22.6","   36",
"Life insurance companies, general accounts; syndicated loans to nonfinancial corporate business; asset","      16.7","      22.2","      22.6","      25.1","      29.9","      23.2","      25.1","      27.2","      28.2","      30.0","      29.9","   37",
"Mutual funds; syndicated loans to nonfinancial corporate business; asset","      74.6","      93.5","     105.7","     145.1","     160.8","     137.9","     145.1","     160.1","     156.5","     158.9","     160.8","   38",
"Issuers of asset-backed securities; syndicated loans to nonfinancial corporate business; asset","     163.8","     162.3","     160.0","     148.3","     155.7","     147.3","     148.3","     152.9","     149.4","     155.6","     155.7","   39",
"Security brokers and dealers; syndicated loans to nonfinancial corporate business; asset","      47.4","      54.3","      39.6","      50.4","      51.9","      43.8","      50.4","      49.8","      49.7","      51.8","      51.9","   40",
"Funding corporations; syndicated loans to nonfinancial corporate business; asset","      21.4","      19.4","      12.9","      10.6","      10.5","      10.4","      10.6","      11.4","      10.1","      10.3","      10.5","   41",
