"Page: 131  March 12, 2015"
""
"L.232 Identified Miscellaneous Financial Claims - Part II"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Rest of the world; nonofficial U.S. currencies; liability","       2.7","     102.5","      11.5","       2.9","       4.2","       3.1","       2.9","       3.0","       2.8","       2.9","       4.2","    1",
"Households and nonprofit organizations; insurance receivables due from property-casualty insurance companies; asset","     310.8","     347.5","     329.8","     369.5","     366.0","     360.2","     369.5","     368.6","     370.3","     371.4","     366.0","   16",
"Nonfinancial corporate business; insurance receivables due from property-casualty insurance companies; asset","     318.7","     328.8","     336.4","     329.8","     336.2","     332.2","     329.8","     330.9","     334.8","     338.1","     336.2","   17",
"Nonfinancial noncorporate business; insurance receivables due from property-casualty insurance companies; asset","     131.7","     120.1","     135.9","     108.5","     115.6","     115.6","     108.5","     109.8","     112.4","     114.7","     115.6","   18",
"Pension funds; unallocated insurance contracts; asset","     620.9","     624.7","     638.6","     668.1","     700.5","     646.7","     668.1","     676.3","     689.9","     688.7","     700.5","   19",
"Private pension funds; unallocated insurance contracts; asset","     469.4","     484.6","     503.8","     537.1","     563.1","     521.5","     537.1","     544.3","     553.8","     553.7","     563.1","   20",
"State and local government employee defined contribution retirement funds; unallocated insurance contracts; asset","     151.5","     140.1","     134.7","     131.0","     137.4","     125.2","     131.0","     132.0","     136.0","     135.0","     137.4","   21",
"Private pension funds; pension fund contributions receivable; asset","      90.8","      93.8","      81.4","      80.9","      81.7","      81.6","      80.9","      80.7","      81.1","      82.0","      81.7","   22",
"Private pension funds; pension fund contributions receivable; asset","      90.8","      93.8","      81.4","      80.9","      81.7","      81.6","      80.9","      80.7","      81.1","      82.0","      81.7","   23",
"Security brokers and dealers; securities borrowed (net); asset","     733.4","     658.7","     579.5","     673.5","     720.6","     702.3","     673.5","     794.5","     746.5","     735.4","     720.6","   24",
"Security brokers and dealers; securities borrowed (net); asset","     733.4","     658.7","     579.5","     673.5","     720.6","     702.3","     673.5","     794.5","     746.5","     735.4","     720.6","   25",
"Federal government retirement funds; nonmarketable Treasury securities; asset","    1142.9","    1213.7","    1254.1","    1352.3","    1421.1","    1161.5","    1352.3","    1339.7","    1342.6","    1361.8","    1421.1","   26",
"Federal government retirement funds; nonmarketable Treasury securities; asset","    1142.9","    1213.7","    1254.1","    1352.3","    1421.1","    1161.5","    1352.3","    1339.7","    1342.6","    1361.8","    1421.1","   27",
"Federal government; retiree health care funds; liability","     202.9","     221.4","     234.8","     246.9","     257.3","     231.0","     246.9","     246.2","     249.0","     248.8","     257.3","   28",
"Federal government; retiree health care funds; liability","     202.9","     221.4","     234.8","     246.9","     257.3","     231.0","     246.9","     246.2","     249.0","     248.8","     257.3","   29",
"Private defined benefit pension funds; claims of pension fund on sponsor; asset","     446.5","     517.2","     389.8","     131.4","      19.4","     208.2","     131.4","     103.8","      31.7","      49.7","      19.4","   30",
"Federal government retirement funds; claims of pension fund on sponsor; asset","    1733.7","    1750.7","    1800.0","    1792.1","    1818.0","    2061.2","    1792.1","    1828.4","    1849.3","    1853.7","    1818.0","   31",
"State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset","    1343.4","    1648.3","    1622.2","    1204.1","    1290.2","    1353.1","    1204.1","    1276.3","    1173.6","    1277.9","    1290.2","   32",
"Private defined benefit pension funds; claims of pension fund on sponsor; asset","     446.5","     517.2","     389.8","     131.4","      19.4","     208.2","     131.4","     103.8","      31.7","      49.7","      19.4","   33",
"Federal government retirement funds; claims of pension fund on sponsor; asset","    1733.7","    1750.7","    1800.0","    1792.1","    1818.0","    2061.2","    1792.1","    1828.4","    1849.3","    1853.7","    1818.0","   34",
"State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset","    1343.4","    1648.3","    1622.2","    1204.1","    1290.2","    1353.1","    1204.1","    1276.3","    1173.6","    1277.9","    1290.2","   35",
