NAICS,Mainframes,PCs,DASDs,Printers,Terminals,Tape drives,Storage devices,System integrators,Communications,Nonelectro medical instruments,Electro medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metals,Steam engines,Internal combustion engines,Metalworking machinery,Special industrial machinery,General industrial equipment,Electric transmission and distribution,Light trucks (including utility vehicles),"Other trucks, buses and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,Other electrical,Other,Office,Hospitals,Special care,Medical buildings,Multimerchandise shopping,Food and beverage establishments,Warehouses,Mobile structures,Other commercial,Manufacturing,Electric,Wind and solar,Gas,Petroleum pipelines,Communication,Petroleum and natural gas,Mining,Religious,Educational and vocational,Lodging,Amusement and recreation,Air transportation,Other transportation,Other railroad,Track replacement,Local transit structures,Other land transportation,Farm,Water supply,Sewage and waste disposal,Public safety,Highway and conservation and development,Prepackaged software,Custom software,Own account software,Pharmaceutical and medicine manufacturing,"Chemical manufacturing, ex. pharma and med",Semiconductor and other component manufacturing,Computers and peripheral equipment manufacturing,Communications equipment manufacturing,Navigational and other instruments manufacturing,"Other computer and electronic manufacturing, n.e.c.",Motor vehicles and parts manufacturing,Aerospace products and parts manufacturing,Other manufacturing,Scientific research and development services,Software publishers,Financial and real estate services,Computer systems design and related services,"All other nonmanufacturing, n.e.c.",Private universities and colleges,Other nonprofit institutions,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals
[[11114]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111140]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11115]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111150]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11116]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111160]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11119]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111191]],9638.582522,298796.0582,0,19277.16504,28915.74756,0,28915.74756,106024.4077,1946993.669,221687.398,0,348068492,86747.24269,9638.582522,0,29802497.16,0,2303621.223,2072295.242,-4.43E-10,13898836,4915677.086,94168951.24,34188052.2,34756728.57,0,0,0,0,1657836.194,1025583735,361080578.4,3874710.174,202410.233,6.92E-12,2197596.815,0,115662.9903,211990984,0,0,-3.46E-12,0,0,0,3.54E-09,-4.43E-10,-8.85E-10,0,0,47219415.77,-8.65E-13,-1.73E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,2514947144,0,0,0,0,568676.3688,163855.9029,28915.74756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111199]],9638.582522,298796.0582,0,19277.16504,28915.74756,0,28915.74756,106024.4077,1946993.669,221687.398,0,348068492,86747.24269,9638.582522,0,29802497.16,0,2303621.223,2072295.242,-4.43E-10,13898836,4915677.086,94168951.24,34188052.2,34756728.57,0,0,0,0,1657836.194,1025583735,361080578.4,3874710.174,202410.233,6.92E-12,2197596.815,0,115662.9903,211990984,0,0,-3.46E-12,0,0,0,3.54E-09,-4.43E-10,-8.85E-10,0,0,47219415.77,-8.65E-13,-1.73E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,2514947144,0,0,0,0,568676.3688,163855.9029,28915.74756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[1112]],134940.1553,4183144.814,0,269880.3106,404820.4659,0,404820.4659,1484341.708,27257911.37,3103623.572,0,4872958888,1214461.398,134940.1553,0,417234960.2,0,32250697.12,29012133.39,-6.20E-09,194583703.9,68819479.2,1318365317,478632730.9,486594200,0,0,0,0,23209706.71,14358172285,5055128098,54245942.43,2833743.261,9.68E-11,30766355.41,0,1619281.864,2967873776,0,0,-4.84E-11,0,0,0,4.96E-08,-6.20E-09,-1.24E-08,0,0,661071820.8,-1.21E-11,-2.42E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,35209260022,0,0,0,0,7961469.163,2293982.64,404820.4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11121]],134940.1553,4183144.814,0,269880.3106,404820.4659,0,404820.4659,1484341.708,27257911.37,3103623.572,0,4872958888,1214461.398,134940.1553,0,417234960.2,0,32250697.12,29012133.39,-6.20E-09,194583703.9,68819479.2,1318365317,478632730.9,486594200,0,0,0,0,23209706.71,14358172285,5055128098,54245942.43,2833743.261,9.68E-11,30766355.41,0,1619281.864,2967873776,0,0,-4.84E-11,0,0,0,4.96E-08,-6.20E-09,-1.24E-08,0,0,661071820.8,-1.21E-11,-2.42E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,35209260022,0,0,0,0,7961469.163,2293982.64,404820.4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111211]],67470.07765,2091572.407,0,134940.1553,202410.233,0,202410.233,742170.8542,13628955.69,1551811.786,0,2436479444,607230.6989,67470.07765,0,208617480.1,0,16125348.56,14506066.7,-3.10E-09,97291851.97,34409739.6,659182658.7,239316365.4,243297100,0,0,0,0,11604853.36,7179086142,2527564049,27122971.22,1416871.631,4.84E-11,15383177.7,0,809640.9318,1483936888,0,0,-2.42E-11,0,0,0,2.48E-08,-3.10E-09,-6.20E-09,0,0,330535910.4,-6.05E-12,-1.21E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,17604630011,0,0,0,0,3980734.581,1146991.32,202410.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111219]],67470.07765,2091572.407,0,134940.1553,202410.233,0,202410.233,742170.8542,13628955.69,1551811.786,0,2436479444,607230.6989,67470.07765,0,208617480.1,0,16125348.56,14506066.7,-3.10E-09,97291851.97,34409739.6,659182658.7,239316365.4,243297100,0,0,0,0,11604853.36,7179086142,2527564049,27122971.22,1416871.631,4.84E-11,15383177.7,0,809640.9318,1483936888,0,0,-2.42E-11,0,0,0,2.48E-08,-3.10E-09,-6.20E-09,0,0,330535910.4,-6.05E-12,-1.21E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,17604630011,0,0,0,0,3980734.581,1146991.32,202410.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[1113]],134940.1553,4183144.814,0,269880.3106,404820.4659,0,404820.4659,1484341.708,27257911.37,3103623.572,0,4872958888,1214461.398,134940.1553,0,417234960.2,0,32250697.12,29012133.39,-6.20E-09,194583703.9,68819479.2,1318365317,478632730.9,486594200,0,0,0,0,23209706.71,14358172285,5055128098,54245942.43,2833743.261,9.68E-11,30766355.41,0,1619281.864,2967873776,0,0,-4.84E-11,0,0,0,4.96E-08,-6.20E-09,-1.24E-08,0,0,661071820.8,-1.21E-11,-2.42E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,35209260022,0,0,0,0,7961469.163,2293982.64,404820.4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11131]],44980.05177,1394381.605,0,89960.10353,134940.1553,0,134940.1553,494780.5694,9085970.457,1034541.191,0,1624319629,404820.4659,44980.05177,0,139078320.1,0,10750232.37,9670711.13,-2.07E-09,64861234.65,22939826.4,439455105.8,159544243.6,162198066.7,0,0,0,0,7736568.904,4786057428,1685042699,18081980.81,944581.0871,3.23E-11,10255451.8,0,539760.6212,989291258.6,0,0,-1.61E-11,0,0,0,1.65E-08,-2.07E-09,-4.13E-09,0,0,220357273.6,-4.03E-12,-8.07E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11736420007,0,0,0,0,2653823.054,764660.88,134940.1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111310]],44980.05177,1394381.605,0,89960.10353,134940.1553,0,134940.1553,494780.5694,9085970.457,1034541.191,0,1624319629,404820.4659,44980.05177,0,139078320.1,0,10750232.37,9670711.13,-2.07E-09,64861234.65,22939826.4,439455105.8,159544243.6,162198066.7,0,0,0,0,7736568.904,4786057428,1685042699,18081980.81,944581.0871,3.23E-11,10255451.8,0,539760.6212,989291258.6,0,0,-1.61E-11,0,0,0,1.65E-08,-2.07E-09,-4.13E-09,0,0,220357273.6,-4.03E-12,-8.07E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11736420007,0,0,0,0,2653823.054,764660.88,134940.1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11132]],44980.05177,1394381.605,0,89960.10353,134940.1553,0,134940.1553,494780.5694,9085970.457,1034541.191,0,1624319629,404820.4659,44980.05177,0,139078320.1,0,10750232.37,9670711.13,-2.07E-09,64861234.65,22939826.4,439455105.8,159544243.6,162198066.7,0,0,0,0,7736568.904,4786057428,1685042699,18081980.81,944581.0871,3.23E-11,10255451.8,0,539760.6212,989291258.6,0,0,-1.61E-11,0,0,0,1.65E-08,-2.07E-09,-4.13E-09,0,0,220357273.6,-4.03E-12,-8.07E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11736420007,0,0,0,0,2653823.054,764660.88,134940.1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111320]],44980.05177,1394381.605,0,89960.10353,134940.1553,0,134940.1553,494780.5694,9085970.457,1034541.191,0,1624319629,404820.4659,44980.05177,0,139078320.1,0,10750232.37,9670711.13,-2.07E-09,64861234.65,22939826.4,439455105.8,159544243.6,162198066.7,0,0,0,0,7736568.904,4786057428,1685042699,18081980.81,944581.0871,3.23E-11,10255451.8,0,539760.6212,989291258.6,0,0,-1.61E-11,0,0,0,1.65E-08,-2.07E-09,-4.13E-09,0,0,220357273.6,-4.03E-12,-8.07E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11736420007,0,0,0,0,2653823.054,764660.88,134940.1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11133]],44980.05177,1394381.605,0,89960.10353,134940.1553,0,134940.1553,494780.5694,9085970.457,1034541.191,0,1624319629,404820.4659,44980.05177,0,139078320.1,0,10750232.37,9670711.13,-2.07E-09,64861234.65,22939826.4,439455105.8,159544243.6,162198066.7,0,0,0,0,7736568.904,4786057428,1685042699,18081980.81,944581.0871,3.23E-11,10255451.8,0,539760.6212,989291258.6,0,0,-1.61E-11,0,0,0,1.65E-08,-2.07E-09,-4.13E-09,0,0,220357273.6,-4.03E-12,-8.07E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11736420007,0,0,0,0,2653823.054,764660.88,134940.1553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111331]],6425.721681,199197.3721,0,12851.44336,19277.16504,0,19277.16504,70682.93849,1297995.78,147791.5987,0,232045661.3,57831.49513,6425.721681,0,19868331.44,0,1535747.482,1381530.161,-2.95E-10,9265890.664,3277118.057,62779300.82,22792034.8,23171152.38,0,0,0,0,1105224.129,683722489.8,240720385.6,2583140.116,134940.1553,4.61E-12,1465064.543,0,77108.66017,141327322.7,0,0,-2.31E-12,0,0,0,2.36E-09,-2.95E-10,-5.90E-10,0,0,31479610.52,-5.76E-13,-1.15E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1676631430,0,0,0,0,379117.5792,109237.2686,19277.16504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111332]],6425.721681,199197.3721,0,12851.44336,19277.16504,0,19277.16504,70682.93849,1297995.78,147791.5987,0,232045661.3,57831.49513,6425.721681,0,19868331.44,0,1535747.482,1381530.161,-2.95E-10,9265890.664,3277118.057,62779300.82,22792034.8,23171152.38,0,0,0,0,1105224.129,683722489.8,240720385.6,2583140.116,134940.1553,4.61E-12,1465064.543,0,77108.66017,141327322.7,0,0,-2.31E-12,0,0,0,2.36E-09,-2.95E-10,-5.90E-10,0,0,31479610.52,-5.76E-13,-1.15E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1676631430,0,0,0,0,379117.5792,109237.2686,19277.16504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111333]],6425.721681,199197.3721,0,12851.44336,19277.16504,0,19277.16504,70682.93849,1297995.78,147791.5987,0,232045661.3,57831.49513,6425.721681,0,19868331.44,0,1535747.482,1381530.161,-2.95E-10,9265890.664,3277118.057,62779300.82,22792034.8,23171152.38,0,0,0,0,1105224.129,683722489.8,240720385.6,2583140.116,134940.1553,4.61E-12,1465064.543,0,77108.66017,141327322.7,0,0,-2.31E-12,0,0,0,2.36E-09,-2.95E-10,-5.90E-10,0,0,31479610.52,-5.76E-13,-1.15E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1676631430,0,0,0,0,379117.5792,109237.2686,19277.16504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111334]],6425.721681,199197.3721,0,12851.44336,19277.16504,0,19277.16504,70682.93849,1297995.78,147791.5987,0,232045661.3,57831.49513,6425.721681,0,19868331.44,0,1535747.482,1381530.161,-2.95E-10,9265890.664,3277118.057,62779300.82,22792034.8,23171152.38,0,0,0,0,1105224.129,683722489.8,240720385.6,2583140.116,134940.1553,4.61E-12,1465064.543,0,77108.66017,141327322.7,0,0,-2.31E-12,0,0,0,2.36E-09,-2.95E-10,-5.90E-10,0,0,31479610.52,-5.76E-13,-1.15E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1676631430,0,0,0,0,379117.5792,109237.2686,19277.16504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
