age,male_death,male_weight,male_expectancy,female_death,female_weight,female_expectancy
41,0.002241,"95,689",37.45,0.001387,"97,624",41.38
42,0.002439,"95,475",36.53,0.001518,"97,488",40.43
43,0.002686,"95,242",35.62,0.001676,"97,340",39.5
44,0.002975,"94,986",34.72,0.001858,"97,177",38.56
45,0.003297,"94,704",33.82,0.002055,"96,997",37.63
46,0.003639,"94,392",32.93,0.002262,"96,797",36.71
47,0.003997,"94,048",32.05,0.00248,"96,578",35.79
48,0.004366,"93,672",31.17,0.002709,"96,339",34.88
49,0.00475,"93,263",30.31,0.002947,"96,078",33.97
50,0.005156,"92,820",29.45,0.003209,"95,795",33.07
51,0.005596,"92,342",28.6,0.003484,"95,487",32.18
52,0.006078,"91,825",27.76,0.003751,"95,155",31.29
53,0.006605,"91,267",26.93,0.004,"94,798",30.4
54,0.007174,"90,664",26.1,0.004246,"94,418",29.52
55,0.007805,"90,013",25.29,0.00452,"94,017",28.65
56,0.008464,"89,311",24.48,0.004836,"93,593",27.77
57,0.009095,"88,555",23.69,0.005185,"93,140",26.91
58,0.009676,"87,750",22.9,0.00557,"92,657",26.04
59,0.010245,"86,901",22.12,0.006001,"92,141",25.19
60,0.010865,"86,010",21.34,0.006489,"91,588",24.34
61,0.011592,"85,076",20.57,0.007046,"90,994",23.49
62,0.012444,"84,090",19.81,0.007686,"90,352",22.65
63,0.013451,"83,043",19.05,0.008419,"89,658",21.83
64,0.014608,"81,926",18.3,0.009249,"88,903",21.01
65,0.015927,"80,729",17.57,0.010201,"88,081",20.2
66,0.01737,"79,444",16.84,0.011255,"87,182",19.4
67,0.018895,"78,064",16.13,0.012372,"86,201",18.62
68,0.020484,"76,589",15.43,0.013538,"85,135",17.84
69,0.022191,"75,020",14.75,0.014793,"83,982",17.08
70,0.024139,"73,355",14.07,0.016233,"82,740",16.33
71,0.026364,"71,584",13.4,0.017882,"81,397",15.59
72,0.028808,"69,697",12.75,0.019693,"79,941",14.87
73,0.03148,"67,689",12.12,0.021671,"78,367",14.16
74,0.034442,"65,558",11.49,0.023866,"76,669",13.46
75,0.037855,"63,300",10.89,0.026437,"74,839",12.77
76,0.041725,"60,904",10.3,0.029368,"72,860",12.11
77,0.045932,"58,363",9.72,0.032519,"70,721",11.46
78,0.050469,"55,682",9.17,0.03587,"68,421",10.83
79,0.055465,"52,872",8.63,0.039555,"65,967",10.21
80,0.061179,"49,939",8.1,0.043828,"63,357",9.61
81,0.067698,"46,884",7.6,0.048808,"60,580",9.03
82,0.074923,"43,710",7.11,0.054434,"57,624",8.47
83,0.082891,"40,435",6.65,0.060762,"54,487",7.93
84,0.091725,"37,084",6.21,0.067889,"51,176",7.41
85,0.101575,"33,682",5.78,0.075926,"47,702",6.91
86,0.112568,"30,261",5.38,0.084968,"44,080",6.44
87,0.124795,"26,854",5,0.095093,"40,335",5.99
88,0.138305,"23,503",4.64,0.106352,"36,499",5.56
89,0.153107,"20,253",4.3,0.118777,"32,617",5.17
90,0.169195,"17,152",3.99,0.132384,"28,743",4.8
91,0.186543,"14,250",3.7,0.147181,"24,938",4.45
92,0.205115,"11,592",3.44,0.163161,"21,268",4.13
93,0.224867,"9,214",3.2,0.180314,"17,798",3.84
94,0.245744,"7,142",2.98,0.198615,"14,588",3.58
95,0.266454,"5,387",2.79,0.217125,"11,691",3.34
96,0.286625,"3,952",2.62,0.235558,"9,153",3.13
97,0.305869,"2,819",2.47,0.253602,"6,997",2.94
98,0.323783,"1,957",2.34,0.270923,"5,222",2.76
99,0.339972,"1,323",2.22,0.287178,"3,807",2.6
100,0.356971,873,2.1,0.304409,"2,714",2.45
101,0.374819,562,1.99,0.322673,"1,888",2.31
102,0.39356,351,1.88,0.342033,"1,279",2.17
103,0.413238,213,1.78,0.362555,841,2.03
104,0.4339,125,1.68,0.384309,536,1.91
105,0.455595,71,1.59,0.407367,330,1.79
106,0.478375,39,1.5,0.431809,196,1.67
107,0.502293,20,1.41,0.457718,111,1.56
108,0.527408,10,1.32,0.485181,60,1.45
109,0.553778,5,1.24,0.514292,31,1.35
110,0.581467,2,1.17,0.545149,15,1.26
111,0.610541,1,1.09,0.577858,7,1.17
112,0.641068,0,1.02,0.61253,3,1.08
113,0.673121,0,0.95,0.649282,1,1
114,0.706777,0,0.89,0.688238,0,0.92
115,0.742116,0,0.83,0.729533,0,0.84
116,0.779222,0,0.77,0.773305,0,0.77
117,0.818183,0,0.71,0.818183,0,0.71
118,0.859092,0,0.66,0.859092,0,0.66
119,0.902047,0,0.6,0.902047,0,0.6
