"Table 1.  Nonfarm Sole Proprietorships: Business Receipts, Selected Deductions, 
Payroll, and Net Income, by Industrial Sectors, Tax Year 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[All figures are estimates based on samples--money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial sector,Businesses with and without net income,,,,,,,,Businesses with net income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Other mining,"3,172","978,238","56,315","6,903","4,451","10,325","152,550","30,230","1,577","702,582","30,795","4,867",939,"4,322","115,181","76,714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Support activities for mining,"17,965","3,050,218","181,096","31,469","24,431","28,121","396,114","720,735","13,257","2,623,274","139,637","19,276","21,913","20,656","310,322","822,813",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilities,"14,828","789,278","120,285","* 5,434","5,409","11,306","19,112","31,791","9,505","453,696","15,723","* 1,435","* 2,809","2,926","* 13,399","115,573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction,"2,648,742","188,517,429","5,037,968","1,049,838","1,456,162","1,039,622","21,007,273","33,804,626","2,195,548","167,527,083","3,985,681","846,044","1,192,407","681,206","17,975,005","38,177,430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Construction of buildings,"494,324","49,286,419","865,580","185,352","276,966","325,051","5,462,045","6,791,087","410,670","43,245,697","711,405","149,616","248,721","196,187","4,745,013","7,837,122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Heavy and civil engineering construction  ,"66,441","8,094,440","376,991","75,867","56,449","99,330","1,109,603","821,725","45,200","5,927,689","263,192","56,514","39,342","43,146","964,919","1,343,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Specialty trade contractors,"2,087,978","131,136,570","3,795,396","788,619","1,122,748","615,241","14,435,625","26,191,814","1,739,678","118,353,696","3,011,084","639,913","904,344","441,873","12,265,074","28,996,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturing,"364,007","27,493,193","1,079,899","92,829","750,036","231,135","3,131,926","3,382,663","239,636","23,316,714","726,006","58,442","610,362","142,891","2,449,136","4,680,885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Food manufacturing,"53,382","3,970,679","193,362","12,992","129,163","47,876","376,551","5,123","29,629","3,054,314","61,520","2,910","100,268","23,530","222,076","398,462",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Textile and textile product mills,"8,167","651,497","25,650","* 8,140","* 10,050","6,571","60,254","117,401","5,809","583,712","14,005","* 6,795","* 8,009","* 3,851","* 41,798","148,650",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Apparel,"26,364","1,481,320","50,920","8,138","115,601","7,319","123,139","206,478","17,579","1,329,268","47,062","* 2,897","109,137","* 5,623","106,444","310,888",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Leather and allied products,"9,037","74,294","* 1,561",* 38,* 496,* 266,"* 8,665","19,948","* 6,310","* 45,449",0,0,0,0,0,"* 29,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Wood products,"** 35,568","** 2,733,216","** 87,788","** 2,931","** 42,877","** 16,557","** 310,967","** 459,055","** 22,351","** 2,552,819","** 72,829","** 2,869","** 40,567","** 13,396","** 299,820","** 509,363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Paper products,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Printing and related support activities,"39,916","3,015,328","88,112","18,563","81,451","39,411","245,077","408,721","26,523","2,475,994","56,807","17,426","51,319","22,656","203,373","500,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Petroleum and coal products,"1,640","69,709","4,776",0,"* 1,687","* 3,984","* 14,938","-12,676","1,546","34,182","* 2,329",0,* 379,* 11,"* 9,713","4,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Chemical manufacturing,"11,718","732,064","15,897",565,"10,763","5,156","47,185","185,099","7,549","640,098","12,719",* 216,"8,524","3,063","31,283","218,977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Plastic and rubber products,507,"473,190","13,477","* 4,371","* 2,734","* 3,659","87,728","21,798",465,"473,042","12,742","* 4,366","* 2,722","* 3,573","87,690","22,641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Nonmetallic mineral products,"16,108","581,214","19,898",* 912,"22,522","2,286","109,168","73,772","11,092","424,993","7,183",* 880,"* 8,334","* 1,103","* 76,776","87,345",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Primary metal industries,"3,524","551,153","5,960","* 1,852","* 31,612",* 796,"* 97,461","48,575","2,364","496,001","* 4,403","* 1,821","* 28,492",* 618,"* 87,833","75,029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Fabricated metal products,"26,561","3,660,350","178,403","5,504","62,184","32,046","606,128","542,180","17,898","3,156,584","136,578","2,918","50,938","22,968","512,556","600,323",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Machinery,"26,168","2,050,228","127,160","3,347","46,013","10,131","244,046","341,820","20,298","1,705,505","108,450","1,325","37,216","8,128","180,938","417,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Computer and electronic products,"8,199","391,714","44,813","* 1,821","* 7,197",* 895,"* 40,888","35,479","4,525","336,536","* 31,459","* 1,439","* 7,197",* 794,"* 31,475","70,371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Electrical equipment, appliances, and components","9,403","643,117","12,685",* 734,"21,735","* 8,237","61,621","42,208","7,630","597,040","8,669",* 494,"* 18,730","* 7,762","40,404","98,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Transportation equipment,"5,701","684,027","19,133","* 6,362","18,774","* 3,997","109,109","63,196","5,540","476,120","17,010","* 6,264","* 10,518","* 3,469","* 44,454","67,822",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Furniture and related products,"19,803","1,527,349","69,624",* 252,"58,258","20,719","118,698","234,217","14,264","1,305,851","59,380",* 222,"48,203","* 6,581","* 75,245","262,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Miscellaneous manufacturing,"62,241","4,202,744","120,680","16,306","86,918","21,230","470,303","590,271","38,265","3,629,205","72,860","5,600","79,809","15,764","397,260","858,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wholesale trade (merchant wholesalers),"360,899","53,697,563","581,174","191,617","835,272","224,525","2,338,132","5,318,822","242,226","45,893,021","381,410","127,809","684,554","145,725","1,748,455","6,556,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Durable goods, including machinery, wood, metals, etc.","161,748","23,406,559","317,344","133,350","457,717","120,738","1,231,490","1,815,520","107,141","19,975,542","207,734","78,695","360,732","74,364","913,586","2,451,754",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Nondurable goods, including food, fiber, chemicals, etc.","127,369","23,266,890","209,452","51,494","331,980","94,073","953,797","2,190,729","89,020","19,319,176","130,281","44,221","282,901","63,910","696,876","2,646,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Wholesale electronic markets and agents and brokers,"71,782","7,024,114","54,377","6,774","45,575","9,714","152,844","1,312,573","46,065","6,598,303","43,394","4,893","40,920","7,451","137,993","1,458,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail trade,"2,298,671","190,889,571","2,266,296","644,199","5,464,266","1,198,354","9,424,307","11,289,960","1,263,326","151,321,259","1,298,276","416,390","3,724,556","710,366","6,758,064","18,655,497",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Motor vehicle and parts dealers,"128,178","37,661,824","255,989","70,210","578,767","244,333","1,615,687","1,411,377","82,821","29,188,071","167,615","59,742","388,977","140,594","1,163,633","1,976,609",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Furniture and home furnishing stores,"33,547","3,439,546","43,301","26,357","198,262","35,295","285,319","362,430","23,795","2,711,860","25,699","13,201","149,084","24,829","237,983","512,230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Electronic stores and household appliance stores,"25,039","3,422,732","50,098","22,634","90,293","27,457","248,958","208,056","14,367","2,526,901","39,189","18,751","34,003","11,701","125,661","337,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Building material and garden equipment and supplies dealers,"35,444","6,591,738","172,064","7,231","129,845","55,212","587,470","596,537","25,094","5,558,278","121,963","4,209","111,742","31,212","440,307","710,535",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Food and beverage stores,"107,234","27,658,417","272,871","115,379","879,711","143,716","1,758,471","936,796","67,649","22,835,030","156,314","77,748","654,841","96,472","1,306,633","1,437,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Health and personal care stores,"131,478","8,498,982","74,101","52,123","251,728","32,787","649,651","795,014","61,907","7,341,224","46,447","36,851","210,200","28,601","508,594","1,144,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Gasoline stations,"15,542","24,133,643","165,351","26,505","253,393","117,043","724,483","180,463","9,931","17,443,726","97,868","11,786","182,793","72,771","515,260","420,269",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Clothing and accessories stores,"145,897","10,115,969","122,063","31,781","806,544","61,379","704,605","609,514","83,433","8,258,685","85,988","17,763","614,745","38,842","539,203","1,216,257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Sporting goods, hobby, book, and music stores","89,883","6,860,075","124,687","18,013","287,287","81,793","367,433","322,317","46,183","5,488,554","65,994","8,382","172,806","57,538","247,157","662,784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   General merchandise stores,"26,062","2,640,965","32,584","5,861","89,891","11,524","93,380","52,465","14,104","1,879,534","10,896","* 4,208","68,371","8,663","57,968","213,582",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Miscellaneous store retailers,"602,981","31,449,075","539,986","178,186","1,323,779","265,848","1,646,577","2,968,062","351,331","24,707,927","283,060","122,799","728,583","128,848","1,085,233","4,869,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Nonstore retailers,"957,387","28,416,605","413,200","89,921","574,766","121,966","742,273","2,846,929","482,710","23,381,469","197,243","40,949","408,412","70,295","530,433","5,153,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation and warehousing,"1,133,138","92,990,956","4,804,710","2,598,924","632,823","694,933","4,340,390","13,105,304","928,002","79,144,887","3,172,902","2,297,002","429,469","486,381","2,919,961","15,765,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Air and rail transportation,"18,674","1,692,719","317,553","24,808","22,136","52,389","97,060","-236,353","12,451","1,073,936","29,761","7,766","5,505","9,627","36,028","248,019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Water transportation,"2,892","1,471,033","231,777","10,385","7,534","32,926","221,398","70,899","2,414","532,250","40,548","* 9,721","* 1,814","7,250","67,068","208,180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Truck transportation,"576,787","69,647,540","3,639,326","1,377,225","325,113","474,030","3,020,342","9,040,597","477,413","60,329,904","2,705,744","1,131,459","254,321","372,544","2,092,618","10,252,399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Other transit and ground transportation,"270,005","9,047,087","268,326","1,081,460","101,539","72,623","260,198","2,611,688","237,733","8,504,695","196,289","1,058,634","93,408","60,118","165,297","2,931,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Pipeline transportation,* 13,"* 12,166","* 5,397",0,* 99,0,* 211,"* -5,026",* 3,"* 10,393",0,0,* 1,0,0,* 751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Scenic and sightseeing transportation,"13,360","556,511","64,024","* 22,759","17,760","17,765","71,958","-8,255","8,371","299,705","26,715","* 21,969","* 2,390","* 9,553","* 25,798","54,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Support activities for transportation (including motor vehicle towing),"54,016","4,406,881","159,992","40,058","42,107","25,151","545,896","664,070","40,490","3,613,403","101,563","39,806","29,895","14,052","480,226","777,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Couriers and messengers,"189,317","5,497,590","95,090","39,517","54,603","11,845","68,439","805,139","141,391","4,241,368","59,664","25,811","31,198","6,244","* 16,295","1,117,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Warehousing and storage facilities,"8,073","659,428","23,225","2,711","61,932","8,203","54,888","162,546","7,735","539,232","12,618","1,835","10,936","6,991","36,632","174,855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information,"353,652","11,570,425","378,485","74,104","284,943","49,240","996,674","2,765,596","246,848","9,428,575","216,576","56,207","188,247","22,382","580,767","3,727,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Publishing industries (except internet),"54,402","1,719,959","19,123","3,611","24,115","14,727","255,820","380,371","37,161","1,350,458","8,891","* 3,510","5,689","1,828","168,356","558,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
